KEY,English,Deutsch,Portugues
HullSmallBlocks,Steel Blocks S,Stahlblöcke S,Bloco de ferro
HullThinSmallBlocks,Steel Blocks S (thin),Stahlblöcke S (dünn)
hintHaveOnlyNToSell,You only have {0}x to sell,Du hast nur {0}x zum Verkaufen
hintEnterPrice,Please enter a price,Bitte gib einen Preis ein
hintMalformedPrice,Malformed price,Preis fehlerhaft
hintEnterPrice>0,Price has to be > 0,Preis muss größer als 0 sein
hintHaveOnlyNCredits,You only have {0} credits,Du hast nur {0} Credits
hintEnterDuration,Please enter a duration,Bitte gib eine Dauer ein
hintEnterDuration>0,"Duration must be >0 and in correct format (e.g., 2h 5m)",Die Dauer muss größer als 0 und im richtigen Format sein (zB 2h 5m)
hintMaxDurationIs,Maximum duration is {0},Die Maximaldauer beträgt {0}
hintSelectItem,Please select an item,Bitte wähle einen Gegenstand aus
hintCannotBuyFromMyself,Cannot buy from myself,Du kannst nicht von dir selbst kaufen
hintCannotSellToMyself,Cannot sell to myself,Du kannst nicht an dich selbst verkaufen
hintCannotBuyHaveOnlyNCredits,"Cannot buy, have only {0} credits","Kauf nicht möglich, du hast nur {0} Credits"
hintCannotBuyNoSpaceInInventory,"Cannot buy, no space in Inventory","Kauf nicht möglich, kein Platz im Inventar"
hintNotYetAllowedToBuyThisItem,You're not yet allowed to buy this item,Du darfst diesen Gegenstand noch nicht kaufen
hintCannotSellDontHaveThatItem,"Cannot sell, have no {0}","Verkauf nicht möglich, du hast kein {0}"
igmJustSoldNItems,Just sold {0}x {1} for {2} Cr,Gerade eben {0}x {1} für {2} Cr verkauft
igmJustBoughtNItems,Just bought {0}x {1} for {2} Cr,Gerade eben {0}x {1} für {2} Cr gekauft
lblAbbrCredits,CR,CR
mnuPlayerProgression,Player Progression:,Spielerfortschritt
difPlayerProgressionEasy,Fast,Schnell 
difPlayerProgressionMedium,Normal,Normal
difPlayerProgressionHard,Slow,Langsam
bhiPlayerProgression,Influences the speed of XP gain and thus player progression,Beeinflusst die Geschwindigkeit der Erfahrungspunktezunahme und somit den Spielerfortschritt
lblFor,for,für
lblSellCount:,Sell Count:,Verkauf Stück:
lblBuyCount:,Buy Count:,Kauf Stück:
lblToPay:,To Pay:,Zu bezahlen:
btnSell,Sell,Verkaufen
btnBuy,Buy,Kaufen
mnuBrightness,Brightness,Helligkeit
mnuContrast,Contrast,Kontrast
bhiBrightness,Adjust the Brightness,Helligkeit einstellen
bhiContrast,Adjust the Contrast,Kontrast einstellen
mnuTextureResMax,Max,Volle Auflösung
mnuTextureResHalf,Half,Halbe Auflösung
msgWantoToSellXItemsWithYFee,You want to sell {0}x '{1}' for {2}.\nThe Marketplace fee will be {3} which cannot be refunded.,Du möchtest {0}x '{1}' für {2} verkaufen.\nDie Marktplatz-Gebühr beträgt {3} welche nicht erstattet werden kann.
mnuMaxLOD,LOD Quality,LOD Qualität
bhiMaxLOD,Set the LOD Quality used for models. You must restart the game for this to take effect.,Legt die LOD Qualität für Modelle fest. Du musst du das Spiel neu starten damit die Änderung in Kraft tritt.
mnuDecoDistanceFar,Far,Weit
mnuDecoDistanceMedium,Medium,Mittel
mnuDecoDistanceNear,Near,Nah
mnuMaxLODHigh,High,Hoch
mnuMaxLODMedium,Medium,Mittel
mnuMaxLODLow,Low,Niedrig
mnuGrassDistanceFar,Far,Weit
mnuGrassDistanceMedium,Medium,Mittel 
mnuGrassDistanceNear,Near,Nah
mnuApply,Apply,Bestätigen
bhiApply,Apply Current Quality Settings,Aktuelle Qualitätseinstellung bestätigen
mnuFullscreenWindow,Fullscreen Window Mode,Vollbild Fenstermodus
bhiFullscreenWindow,Determines if Fullscreen Mode will be a Fullscreen Window (Borderless) or True Fullscreen. You must restart the game for this to take effect.,Legt fest ob das Vollbild in einem rahmenlosen Fenster oder im richtigen Vollbild angezeigt wird. Du musst du das Spiel neu starten damit die Änderung in Kraft tritt.
btnDefrag,Compress,Komprimieren
dlgDirLockedCantDefrag,Can't compress savegame because of locked file(s). Please try again later.,"Kann Spielstand nicht komprimieren, weil Dateien gesperrt sind. Bitte später erneut probieren."
dlgDefragErrorPleaseDelete,An error occured while compressing the savegame: {0}\nPlease delete the probably corrupted savegame.,Beim Komprimieren des Spielstands ist ein Fehler aufgetreten: {0}\nBitte lösche den vermutlich kaputten Spielstand.
dlgMakeCopyBeforeDefrag,It's recommended to create a backup before compressing the savegame.\nNOTE: Compressing can take several minutes - especially if working on a magnetic hard drive.\n\nPerform compression now?,"Es wird empfohlen, vor dem Komprimieren eine Sicherheitskopie des Spielstands anzulegen.\nHINWEIS: Das Komprimieren kann mehrere Minuten benötigen,\nspeziell wenn sich der Spielstand auf einer magnetischen Festplatte befindet!\n\nKomprimierung jetzt durchführen?"
btnYes,Yes,Ja
igmCannotPlaceGeneral,Cannot place it here,Kann es hier nicht platzieren
vstClass,Size Class:,Grössenklasse:
vstDeviceCount,Device Count:,Anzahl Objekte:
tipFunctionDisabledByServer,This function has been disabled by the server,Diese Funktion wurde vom Server gesperrt
mnuSSRR,Screen Space Reflections,Screen Space Reflections
bhiSSRR,Enable/Disable Screen Space Reflections for all objects. Allows much more detailed reflections of all objects in the world.,Aktiviert/Deaktiviert Screen Space Reflections (beeinflusst die Reflektion von Objekten). 
titleConsole,Console,Konsole
"lblOpenOnExceptions,Open on Exceptions,Öffnen bei Exceptions",Open on Exceptions,Öffnen bei Exceptions
lblChooseStartPlanet,Choose Starting Planet,Wähle einen Startplaneten
btnStart,Start,Start
titleMap,Map,Karte
titleCreativeMenu,Creative Menu,Kreativ-Menü
lblRunning,running,läuft
lblLeader,Leader,Leiter
lblSupporter,Supporter,Helfer
dlgWarnDeactivateFactionMission,Warning: If you deactivate the incomplete faction mission\n'{0}' you will lose all progress made.\n\nDeactivate anyway?,"Warnung: Wenn du die unvollständige Team-Mission '{0}' deaktivierst,\nverliert ihr die bisher gemachten Fortschritte.\n\nTrotzdem deaktivieren?"
btnTutorial,Tutorials,Übungen
btnSinglePlayerMissions,Single-Player Missions,Einzelspieler-Missionen
btnFactionMissions,Faction Missions,Team Missionen
btnFAQ,FAQ,F&A
dlgWarnQuitWithActivateFactionMission,Warning: If you quit the game while faction mission '{0}' is active\nyou will lose all progress made.\n\nQuit anyway?,"Warnung: Wenn du das Spiel mit der aktiven Team-Mission '{0}' verlässt,\nverliert ihr die bisher gemachten Fortschritte.\n\nTrotzdem verlassen?"
mnuShadows,Shadow Quality,Schatten Lichtquelle
mnuReflections,Sky Reflections Quality,Qualität der Himmelsreflektion
mnuReflectionsHigh,High,Hoch
mnuReflectionsLow,Low,Niedrig
mnuReflectionsOff,Off,Aus
bhiShadows,"Set Shadow Quality and Distance. Note: ""Low"" and ""Medium"" setting disables light block shadows. Enabling light shadows in ""High"" setting has a strong performance impact.","Beeinflusst die Qualität und Distanz von Schatten. Beachte: Bei ""Niedrig"" und ""Mittel"" sind die Schatten von Lichtquellen deaktiviert. Die Aktivierung von Schatten in ""Hoch"" beeinflusst stark die Performance."
bhiReflections,Set quality of Sky Reflections on planets,Beeinflusst die Qualität der Himmelsreflektion auf Planeten.
mnuShadowsHigh,High,Hoch
mnuShadowsMedium,Medium,Mittel
mnuShadowsLow,Low,Niedrig
mnuShadowsOff,Off,Aus
msgAKilledB,{0} killed {1},{1} starb durch {0}
msgAHasBeenKilled,{0} has been killed,{0} ist gestorben
msgAEnteredB,Player {0} entered {1},Spieler {0} hat {1} betreten
msgALeftB,Player {0} left {1},Spieler {0} hat {1} verlassen
msgAEnteredGame,Player {0} entered the game,Spieler {0} hat das Spiel betreten
msgALeftGame,Player {0} left the game,Spieler {0} hat das Spiel verlassen
Effective Range:,Eff. Range:,Reichweite:
mnuFramerate,Max Framerate,Maximale Framerate:
bhiFramerate,Sets the Maximum Allowed Framerate.,Legt die maximal zugelassene Framerate fest.
lblDisplayText,Display Text,Anzeigetext
lblFontSize,Font size,Schriftgröße
lblTextColor,Text Color,Schriftfarbe
lblBgColor,Background Color,Hintergrundfarbe
lblEnterTextHere,Enter text here...,Hier Text eingeben...
lblEnterLockCode,Please enter lock code (0000 = public),Bitte Schlüsselcode eingeben (0000 = öffentlich)
lblLockCode:,Lock code:,Schlüsselcode:
btnSet,Set,Setzen
btnRemoveCode,Remove Code,Code entfernen
lblRegistry,Registry,Registratur
lblNextProductInSeconds:,Next product [s]:,Nächstes Produkt [s]:
lblProducing:,Producing:,Produziere:
rgwPlayfields,Name,Name
rgwType,Type,Typ
rgwName,Name,Name
rgwLocation,Location,Ort
rgwFaction,Faction,Fraktion
rgwFilter,Filter,Filter
rgwShowPrivate,Show Private,Privat anzeigen
rgwStatistics,Statistics,Statistiken
rgwControlPanel,Control Panel,Steuertafel
rgwWaypoint,Waypoint,Wegpunkt
lblATM,ATM,Bankautomat
lblDeposit:,Deposit:,Einzahlen:
lblWidthdraw:,Widthdraw:,Abheben:
cplCurrentlyRepairing,Currently Repairing:,Wird aktuell repariert:
cplRepairProgress,Progress:,Fortschritt:
rgwShowOnMap,Show on Map,Auf Karte anzeigen
cbxAllowFactionAccess,Allow Faction Access,Zugriff für Fraktion
cbxShowOnMap,Show on Map,Auf Karte anzeigen
vstHoverEngines,Hover Engines,Schwebesystem
vstHoverBoosters,Hover Boosters,Boostersystem
mnuCharacterTextureResolution,Character Texture Resolution,Spielertexturauflösung
mnuCharacterTextureResMax,Max,Max
mnuCharacterTextureResHalf,Half,Halb
mnuCharacterTextureResQuarter,Quarter,Viertel
bhiCharacterTextureResolution,"Set Texture Resolution of Character Models. Limited to ""Half"" if Video Memory is 2GB or to ""Quarter"" if Video Memory is 1GB.","Legt Texturauflösung des Spielermodells fest. Auf ""halb"" (bzw ""viertel"") limitiert wenn VRAM deiner Videokarte 2GB (bzw 1GB) beträgt. "
wdwConstructorOld,Constructor (old - please replace),Konstruktor (alt - bitte austauschen)
bswMerge,Connect To,Verbinden mit
pswPlayerName,Player Name:,Spieler Name:,Nome do jogador
pswGender,Gender:,Geschlecht:,Sexo:
pswMainColor,Main Color:,Hauptfarbe:,Cor:
pswExtraColor,Extra Color:,Zusatzfarbe:,Cor extra:
pswSkinColor,Skin Color:,Hautfarbe:
pswHairColor,Hair Color:,Haarfarbe:
pswMale,Male,Männlich,Homem
pswFemale,Female,Weiblich,Mulher
lblConnectToBA,Connect to {0},Mit {0} verbinden﻿,Conectar-se a {0}
lblConnectToBANone,None,Keine,Nada
igmBlockTooFarFromCenter,Too far away from the center of the structure,Zu weit vom Zentrum der Struktur entfernt,Longe demais do centro da estrutura
igmConnectToBase,Point at your base and press '{0}' to activate 'Connect to Base' to build here,Zeige auf deine Bases und drücke '{0}' um 'Mit Basis verbinden' zu aktivieren um hier zu bauen,Mire na sua base e aperte '{0}' para ativar o 'Conectar a Base' para construir aqui
vstFridges,Fridges:,Kühlschränke:;Geladeiras:
