"String Identifier","English (United States)","Chinese Simplified",French,German,"Portuguese (Brazil)",Spanish,"String Description"
BA_EpsilonFactory,"Epsilon Factory","Epsilon III级防卫基地","Usine Epsilon","Epsilon Fabrik","Epsilon Factory","Fábrica Epsilon",
BA_EpsilonKraftwerk,"Epsilon Power Station","Epsilon 能源站","Centrale électrique Epsilon","Epsilon Kraftwerk","Epsilon Power Station","Central Eléctrica Epsilon",
BA_EpsilonDroneFactory,"Epsilon Weapon Factory","Epsilon 武器工厂","Usine d'armement Epsilon","Epsilon Waffenfabrik","Epsilon Weapon Factory","Fábrica de Armas Epsilon",
BA_GhostRiderBaseI,"Ghost Rider Base I","Ghost Rider I级基地","Base Ghost Rider I","Ghost Rider Basis I","Ghost Rider Base I","Base I (Ghost Raider)",
BA_GhostRiderBaseII,"Ghost Rider Base II","Ghost Rider II级基地","Base Ghost Rider II","Ghost Rider Basis II","Ghost Rider Base II","Base II (Ghost Raider)",
BA_GhostRiderDefenceI,"Ghost Rider Defence II","Ghost Rider I级防卫基地","Défense Ghost Rider II","Ghost Rider Verteidigung I","Ghost Rider Defence II","Defensa II (Ghost Raider)",
BA_GhostRiderDefenceII,"Ghost Rider Defence II","Ghost Rider II级防卫基地","Défense Ghost Rider II","Ghost Rider Verteidigung II","Ghost Rider Defence II","Defensa II (Ghost Raider)",
BA_GhostRiderDefenceIII,"Ghost Rider Defence III","Ghost Rider III级防卫基地","Défense Ghost Rider III","Ghost Rider Verteidigung III","Ghost Rider Defence III","Defensa III (Ghost Raider)",
BA_GhostRiderDefenceIV,"Ghost Rider Defence IV","Ghost Rider IV级防卫基地","Défense Ghost Rider IV","Ghost Rider Verteidigung IV","Ghost Rider Defence IV","Defensa IV (Ghost Raider)",
BA_GhostRiderBiolab,"Ghost Rider Biolab","Ghost Rider 生化实验室","Laboratoire biologique Ghost Rider","Ghost Rider Biolabor","Ghost Rider Biolab","Biolaboratorio (Ghost Raider)",
BA_GhostRiderHQ,"Ghost Rider HQ","Ghost Rider 总部","QG Ghost Rider","Ghost Rider Hauptquartier","Ghost Rider HQ","Cuartel General (Ghost Raider)",
BA_MiningComplex,"Xenu Mining Complex","Xenu 矿场","Complexe minier Xenu","Xenu Minenkomplex","Xenu Mining Complex","Complejo Minero (Xenu)",
BA_XenuRareSupplyStation,"Xenu Supply Station","Xenu 高级补给站","Dépôt de ravitaillement Xenu","Xenu Versorgungsstation","Xenu Supply Station","Estación de Abastecimiento (Xenu)",
BA_XenuWalkerBase,"Xenu Walker Base","Xenu ","Base Xenu Walker","Xenu Walker Basis","Xenu Walker Base","Base Caminante (Xenu)",
BA_XenuDefenceI,"Xenu Defence I","Xenu  I级防卫基地","Défense Xenu I","Xenu Verteidigung I","Xenu Defence I","Defensa I (Xenu)",
BA_XenuDefenceII,"Xenu Defence II","Xenu  II级防卫基地","Défense Xenu II","Xenu Verteidigung II","Xenu Defence II","Defensa II (Xenu)",
BA_XenuDefenceIII,"Xenu Defence III","Xenu  III级防卫基地","Défense Xenu III","Xenu Verteidigung III","Xenu Defence III","Defensa III (Xenu)",
BA_XenuTemple,"Xenu Temple","Xenu  神庙","Temple Xenu","Xenu Tempel","Templo Xenu","Templo (Xenu)",
BA_XenuColony,"Xenu Colony","Xenu 殖民地","Colonie Xenu","Xenu Kolonie","Colônia Xenu","Colonia (Xenu)",
BA_XenuAdvArmory,"Xenu Armory MKII","Xenu 军械库 MKII","Armurerie Xenu MKII","Xenu Waffenkammer MKII","Arsenal Xenu MKII","Armería MKII (Xenu)",
BA_XenuAdvPowerStation,"Xenu PowerStation MKII","Xenu 能源站 MKII","Centrale électrique Xenu MKII","Xenu Energieerzeugung MKII","Estação de energia Xenu","Central Eléctrica MKII (Xenu)",
BA_XenuAdvRadar,"Xenu Radar MKII","Xenu 雷达站 MKII","Radar Xenu MKII","Xenu Sensorstation MK II","Radar Xenu MKII","Radar MKII (Xenu)",
BA_XenuAdvSpaceport,"Xenu Spaceport MKII","Xenu 高级宇宙港 MKII","Base spatiale Xenu MKII","Xenu Raumhafen MKII","Xenu Spaceport MKII","Puerto Espacial MKII (Xenu)",
BA_XenuAdvVehiclePort,"Xenu Vehicle Port MKII","Xenu 高级陆地港 MKII","Port d'embarquement Xenu MKII","Xenu Fahrzeughafen MKII","Xenu Vehicle Port MKII","Aparcamiento de Vehículos MKII (Xenu)",
BA_XenuArmory,"Xenu Armory MKI","Xenu 军械库 MKI","Armurerie Xenu MKI","Xenu Waffenkammer MKI","Xenu Armory MKI","Armería MKII (Xenu)",
BA_XenuPowerStation,"Xenu PowerStation MKI","Xenu 能源站 MKI","Centrale électrique Xenu MKI","Xenu Stromerzeugung MKI","Xenu PowerStation MKI","Central Eléctrica MKI (Xenu)",
BA_XenuRadar,"Xenu Radar MKI","Xenu 雷达站 MKI","Radar Xenu MKI","Xenu Sensorsation MKI","Xenu Radar MKI","Radar MKI (Xenu)",
BA_XenuSpaceport,"Xenu Spaceport MKI","Xenu  宇宙港 MKI","Base spatiale Xenu MKI","Xenu Raumhafen MKI","Xenu Spaceport MKI","Puerto Espacial MKI (Xenu)",
BA_XenuVehiclePort,"Xenu Vehicle Port MKI","Xenu 陆地港 MKI","Port d'embarquement Xenu MKI","Xenu Fahrzeughafen MKI","Xenu Vehicle Port MKI","Aparcamiento de Vehículos MKI (Xenu)",
BA_XenuFortressP1,"Xenu Fortress P1","Xenu P1级要塞","Forteresse Xenu P1","Xenu Festung P1","Xenu Fortress P1","Fortaleza P1 (Xenu)",
BA_RadosAdvBase,"Rados Base MKII","Rados 基地MKII","Base Rados MKII","Rados Basis MKII","Rados Base MKII","Base MKII (Rados)",
BA_RadosAdvComCenter,"Rados ComCenter MKII","Rados 通讯中心MKII","Centre Com Rados MKII","Rados KommZentrale MKII","Rados ComCenter MKII","Centro de Comunicaciones MKII (Rados)",
BA_RadosAdvOxyDepot,"Rados Oxygen Depot MKII","Rados 氧气站 MKII","Dépôt d'oxygène Rados MKII","Rados Sauerstoffversorgung MKII","Rados Oxygen Depot MKII","Depósito de Oxígeno MKII (Rados)",
BA_RadosAdvSupplyStation,"Rados Supply Station MKII","Rados 补给站 MKII","Station de ravitaillement Rados MKII","Rados Versorgungssation MKII","Rados Supply Station MKII","Estación de Suministros MKII (Rados)",
BA_RadosBase,"Rados Base MKI","Rados 基地 MKI","Base Rados MKI","Rados Basis MKI","Rados Base MKI","Base MKI (Rados)",
BA_RadosComCenter,"Rados ComCenter MKI","Rados 通讯中心 MKI","Centre de Com Rados MKI","Rados KommZentrale MKI","Rados ComCenter MKI","Centro de Comunicaciones MKI (Rados)",
BA_RadosOxyDepot,"Rados Oxygen Depot MKI","Rados 氧气站 MKI","Dépôt d'oxygène Rados MKI","Rados Sauerstoffversorgung MKI","Rados Oxygen Depot MKI","Depósito de Oxígeno MKI (Rados)",
BA_RadosSupplyStation,"Rados Supply Station MKI","Rados 补给站 MKI","Station de ravitaillement Rados MKI","Rados Versorgungsstation MKI","Rados Supply Station MKI","Estación de Suministros MKI (Rados)",
BA_GhostAdvDronePort,"Ghost Drone Port MKII","Ghost 高级无人机空港 MKII","Fabrique de Ghost MKII","Ghost Drohnenhafen MKII","Ghost Drone Port MKII","Puerto Dron MKII (Ghost)",
BA_GhostAdvPowerStation,"Ghost Power Station MKII","Ghost 能源站 MKII","Centrale électrique Ghost MKII","Ghost Energieerzeugung MKII","Ghost Power Station MKII","Central Eléctrica MKII (Ghost)",
BA_GhostAdvStealth,"Ghost Stealth MKII","Ghost 秘密基地 MKII","Base furtive Ghost MKII","Ghost Tarnung MKII","Ghost Stealth MKII","Base Secreta MKII (Ghost)",
BA_GhostAdvSupport,"Ghost Support MKII","Ghost 支援基地 MKII","Base de soutien Ghost MKII","Ghost Unterstützung MKII","Ghost Support MKII","Soporte MKII (Ghost)",
BA_GhostDronePort,"Ghost Drone Port MKI","Ghost 无人机空港 MKI","Fabrique de Ghost MKI","Ghost Drohnenhafen MKI","Ghost Drone Port MKI","Puerto Dron MKI (Ghost)",
BA_GhostPowerStation,"Ghost Power Station MKI","Ghost 能源站 MKI","Centrale électrique Ghost MKI","Ghost Energieerzeugung MKI","Ghost Power Station MKI","Central Eléctrica MKI (Ghost)",
BA_GhostStealth,"Ghost Stealth MKI","Ghost 秘密基地 MKI","Base furtive Ghost MKI","Ghost Tarnung MKI","Ghost Stealth MKI","Base Secreta MKI (Ghost)",
BA_GhostSupport,"Ghost Support MKI","Ghost 支援基地 MKI","Base de soutien Ghost MKI","Ghost Unterstützung MKI","Ghost Support MKI","Soporte MKI (Ghost)",
BA_EpsilonAdvComCenter,"Epsilon ComCenter MKII","Epsilon 通讯中心 MKII","Centre de Com Epsilon MKII","Epsilon KommZentrale MKII","Epsilon ComCenter MKII","Centro de Comunicaciones MKII (Epsilon)",
BA_EpsilonAdvFortress,"Epsilon Fortress MKII","Epsilon 要塞 MKII","Forteresse Epsilon MKII","Epsilon Festung MKII","Epsilon Fortress MKII","Fortaleza MKII (Epsilon)",
BA_EpsilonAdvOutpost,"Epsilon Outpost MKII",,"Avant-poste Epsilon MKII","Epsilon Außenposten MKII","Epsilon Outpost MKII","Puesto Avanzado MKII (Epsilon)",
BA_EpsilonAdvSpaceport,"Epsilon Spaceport MKII","Epsilon 宇宙港 MKII","Port spatial Epsilon MKII","Epsilon Raumhafen MKII","Epsilon Spaceport MKII","Puerto Espacial MKII (Epsilon)",
BA_EpsilonComCenter,"Epsilon ComCenter MKI","Epsilon 通讯中心 MKI","Centre de Com Epsilon MKI","Epsilon KommZentrum MKI","Epsilon ComCenter MKI","Centro de Comunicaciones MKI (Epsilon)",
BA_EpsilonFortress,"Epsilon Fortress MKI","Epsilon 要塞 MKI","Forteresse Epsilon MKI","Epsilon Festung MKI","Epsilon Fortress MKI","Fortaleza MKI (Epsilon)",
BA_EpsilonOutpost,"Epsilon Outpost MKI","Epsilon 哨站 MKI","Avant-poste Epsilon MKI","Epsilon Außenposten MKI","Epsilon Outpost MKI","Puesto Avanzado MKI (Epsilon)",
BA_EpsilonSpaceport,"Epsilon Spaceport MKI","Epsilon 宇宙港 MKI","Port spatial Epsilon MKI","Epsilon Raumhafen MKI","Epsilon Spaceport MKI","Puerto Espacial MKI (Epsilon)",
BA_Unknown-Artifact,"Unknown Artifact",不明造物,"Artefact inconnu","Unbekanntes Artefakt","Unknown Artifact","Artefacto desconocido",
BA_Unknown-Structure,"Unknown Structure",不明建筑,"Structure inconnue","Unbekannte Struktur","Unknown Structure","Estructura desconocida",
BA_TalonGuardianTempel,"Talon Guardian Temple",塔伦神庙,"Temple des Gardiens Talon","Talon Wächter Tempel","Talon Guardian Temple","Templo (Talon Guardian)",
BA_TalonGuardianVillage,"Talon Guardian Village",塔伦村庄,"Village des Guardiens Talon","Talon Wächter Dorf","Talon Guardian Village","Aldea (Talon Guardian)",
BA_AbandonedMine,"Abandoned Mine",废弃的采矿基地,"Mine abandonnée","Verlassende Mine","Mina abandonada","Mina Abandonada",
BA_AbandonedFactory,"Abandoned Factory",废弃的工厂,"Usine abandonnée","Verlassene Fabrik","Fábrica abandonada","Fábrica Abandonada",
BA_Archeology-CivilSettlement-B,"Excavation site",挖掘点,"Site de fouilles",Ausgrabungsstelle,"Sítio de Escavação","Sitio de excavación",
BA_BG-Central-Hub-Cluster,"Large Outpost",大型前哨站,"Grand avant-poste","Großer Außenposten","Posto Avançado","Puesto de avanzada grande",
BA_BG-Farm-Cluster,"Farm ","农场 ",Ferme,Farm,,"Granja ",
BA_BG-Research-Cluster-A,"Research Outpost Alpha",研究阿尔法基地,"Centre de recherche Alpha","Forschungsstation Alpha",,"Puesto de investigación Alfa",
BA_BG-Research-Cluster-B,"Research Outpost Beta",研究贝塔基地,"Centre de recherche Beta","Forschungsstation Beta",,"Puesto de investigación Beta",
BA_BG-Residential-Cluster,"Residental Complex",住宅区,"Complexe résidentiel",Wohnkomplex,,"Complejo residencial",
BA_BG-Shuttle-Hub-Cluster,"Small Outpost",小型前哨站,"Petit avant-poste","Kleiner Außenposten",,"Puesto de avanzada pequeño",
BA_CivilSettlement-A,"Supply Station",供给站,"Station d'approvisionnement",Versorgungsstation,,"Estación de suministro",
BA_CivilSettlement-B,"Large Residental Complex",大型住宅区,"Grand complexe résidentiel","Großer Wohnkomplex",,"Complejo residencial grande",
BA_Spaceport-CivilSettlement-B,"Logistics Center",物流中心,"Centre logistique",Nachschubstation,,"Centro de logística",
BA_Tribal-VillageWood-6p2,Village,村子,Villageo,Dorf,,Pueblo,
BA_Tribal-VillageWood-9p2,Village,村子,Villageo,Dorf,,Pueblo,
BA_Tribal-VillageWood-12,Village,村子,Villageo,Dorf,,Pueblo,
BA_Tribal-VillageStone-10,Village,村子,Villageo,Dorf,,Aldea,
BA_Tribal-VillageStone-7p2,Village,村子,Villageo,Dorf,,Aldea,
BA_Tribal-VillageStone-8p2,Village,村子,Villageo,Dorf,,Aldea,
BA_Tribal-VillageStone-11,Village,村子,Villageo,Dorf,,Aldea,
TSO_OmicronOrbit,"TS Omicron Orbit","TS 奥米克戎外太空","Station commerciale orbitale Omicron","Handelsstation Omnicron Orbit",,"Estación Orbital de Comercio de Omicron",
TSO_AkuaOrbit,"TS Akua Orbit",阿库阿轨道交易站,"Station commerciale orbitale Akua","Handelsstation Akua Orbit",,"Estación Orbital de Comercio de Akua",
TSP_Omicron,"TS Omicron","TS 奥米克戎","Station commerciale Omicron","Handelsstation Omnicron",,"Estación de Comercio de Omicron",
TSP_Akua,"TS Akua","TS 类地星球","Station commerciale Akua","Handelsstation Akua",,"Estación de Comercio de Akua",
Mass,Mass,质量,Masse,Masse,Mass,Masa,
Hardness,Armor,装甲,Armure,Panzerung,Armadura,Armadura,
HitPoints,"Hit Points",血量,"Points de vie",Lebenspunkte,"Pontos de vida",Resistencia,
UnlockCost,"Unlock Cost",解锁花费,"Coût de déverrouillage",Freischaltkosten,"Custo para destravar","Costo de desbloqueo",
UnlockLevel,"Unlock Level",解锁等级,"Niveau de déverrouillage",Freischaltlevel,"Nível para destravar","Desbloquear nivel",
EnergyIn,"Energy In",输入能量,Consommation,Energieverbrauch,"Entrada de energia",Consumo,
EnergyOut,"Energy Out",输出能量,"Energie sortante",Energieabgabe,"Saída de energia","Producción de energía",
ThrusterForce,Force,推力,Forceo,Schubkraft,Força,Fuerza,
AmmoCapacity,"Magazine Capacity",弹药库容量,"Capacité du chargeur",Magazingröße,"Capacidade de balas","Capacidad de almacenaje",
AmmoType,Ammo,弹药,Munition,Munition,Munição,Munición,
ReloadDelay,"Reload Time (s)",装填时间(秒),"Rechargement (sec)","Nachladezeit (s)","Tempo de recarga (s)","Tiempo de Recarga (seg)",
Damage,Damage,伤害,Dégâts,Schaden,Dano,Daño,
RotSpeed,"Rotation Speed (d/s)",旋转速度(度/秒),"Vitesse de rotation (d/s)","Rotationsgeschw. (g/s)","Velocidade de rotação (d/s)","Velocidad de rotación (d / s)",
ExplosionRadius,"Explosion Radius",爆炸半径,"Rayon d'explosion",Explosionsradius,"Raio de explosão","Radio de explosión",
FoodValue,Food,食物,Nourriture,Nahrungswert,Comida,Comida,
HealthValue,Health,生命,Santé,Gesundheitswert,Saúde,Salud,
StaminaValue,Stamina,精力值,Endurance,Ausdauerwert,Energia,Resistencia,
OxygenValue,Oxygen,氧气值,Oxygène,Sauerstoffwert,Oxigênio,Oxígeno,
Range,"Range (m)",范围（米）,"Portée (m)","Reichweite (m)","Range (m)","Alcance (m)",
DmgMultiplierHead,"Dmg Multi Head",,"Dgt tête multiple",Kopfschussfaktor,"Dano múltiplo","Daño de Cabeza Múltiple",
ROF,"Rate of Fire",射击速率,"Cadence de feu",Feuerrate,"Taxa de tiro","Cadencia de fuego",
Effect,Effect,效果,Effet,Effekt,Efeito,Efecto,
EffectiveAgainst,"Effective Against",有效克制,"Efficace contre","Hilft gegen","Efetivo contra","Efectivo contra",
Armor,Armor,装甲,Armure,Panzerung,Armor,Blindaje,
SizeInBlocks,"Size (W,H,D)",尺寸（宽.高.长）,"Dimensions (L, H, P)","Größe (B,H,T)","Tamanho em blocos","Tamaño (AN,AL,PR)",
MaxCount,"Maximum Amount",,"Quantité maximale","Maximale Anzahl",,"Importe Máximo",
Place,Placement,放置,Emplacement,Platzierung,Colocação,Colocación,
FlyDirBottom,"Flight Direction (Bottom)",飞行方向（底部）,"Direction de vol  (bas)","Flugrichtung (unten)","Direção de vôo (inferior)","Dirección de vuelo (abajo)",
FlyDirTop,"Flight Direction (Top)",飞行方向（顶部）,"Direction de vol (haut)","Flugrichtung (oben)","Direção do vôo (superior)","Dirección de vuelo (arriba)",
FlyDir,"Flight Direction",飞行方向,"Direction de vol",Flugrichtung,"Flight Direction","Dirección de Vuelo",
NoRotation,"No Rotation",没有旋转,"Pas de rotation","Keine Rotation",,"Sin Rotación",
"OpenWound,PoisonFood","Open Wound, Food Poisoning",外伤，食物中毒,"Blessure ouverte, intoxication alimentaire","Offene Wunde, Lebensmittelvergiftung",PoisonFood,"Herida abierta, intoxicación alimentaria",
"OpenWound,PoisonFood,PoisonBit","Open Wound, Food Poisoning, Bites",外伤，食物中毒，咬伤,"Blessure ouverte, empoisonnement alimentaire, morsure","Offene Wunde, Lebensmittelvergiftung, Giftbiss",,"Herida abierta, intoxicación alimentaria, mordeduras",
PoisonBit,"Poisonous Bite",咬伤中毒,"Morsure toxique",Giftbiss,"Picada venenosa","Picadura Venenosa",
OpenWound,"Open Wound",外伤,"Blessure ouverte","Offene Wunde","Open Wound","Herida abierta",
"Parasite1,Parasite2,Parasite3","Alien Parasite",外星寄生虫感染,"Parasite alien",Alien-Parasit,"Alien Parasite","Parásito alien",
GrowthTimeInfo,"Growth Time (min)",生长时间（分钟）,"Temps de croissance (min)","Wachstumszeit (min)","Growth Time (min)","Tiempo de Crecimiento (Min)",
FoodDecayTime,"Perish Time",腐烂时间,"Avant décomposition",Verfallszeit,"Tempo de apodrecimento","Tiempo de vencimiento",
O2Value,"O2 Value",氧气值,"Richesse en O2","O2 Gehalt","Valor de O2","Valor O2",
FuelValue,"Fuel Value",燃料值,"Richesse en fuel",Brennstoffgehalt,"Valor do combustível","Valor del Combustible",
AllowPlacingAt,Placeable,可放置,Compatible,"Platzierbar auf",Colocável,"Disponible para",
RepairPerSecond,"Repair per Second",每秒修复,"Réparations par seconde","Reparatur pro Sekunde","Reparo por segundo","Reparación por Segundo",
Repairs,"Repair limited to",限制修复到,"Réparations limitées à","Reparatur limitiert auf","Reparo limitado a","Limitada a Reaparación",
ItemsPerHour,"Ores per Hour",矿石/小时,"Minerais par heure","Erze pro Stunde","Minérios por hora","Minerales por Hora",
ItemStorageLimit,"Storage Limit",存储上限,Capacité,Speichervolumen,"Storage Limit","Límite de Almacenamiento",
MS,CV,CV,VM,GR,CV,NC,
SS,SV,SV,VL,KR,SV,NP,
GV,HV,HV,Pl,BG,HV,VD,
Base,BA,BA,Ba,SP,BA,BA,
Terrain,T,T,Terrain,T,T,T,
"Base,MS","CV,BA","CV,BA","VM, Ba","GR,BA",MS,"NC,BA",
"MS,SS","CV,SV","CV,SV","VM, VL","GR,KR",SS,"NC,NP",
"MS,GV","CV,HV",主力舰，悬浮舰,"VM, Pl","GR,BG",,"NC,VD",
"SS,GV","SV,HV","SV,HV","VL, Pl","KR,BG",GV,"NP,VD",
"Base,MS,Terrain","BA,CV,T","BA,CV,T","Ba, VM, T","BA,GR,T",,"BA,NC,T",
"Base,MS,GV","BA,CV,HV","BA,CV,HV","Ba, VM, Pl","BA,GR,BG",,"BA,NC,VD",
"Base,MS,SS,GV","BA,CV,SV,HV","BA,CV,SV,HV","Ba, VM, VL, Pl","BA,GR,KR,BG",,"BA,NC,NP,VD",
"MS,SS,GV","CV,SV,HV","CV,SV,HV","VM, VL, Pl","GR,KR,BG",,"NC,NP,VD",
rdlDisassemble,Disassemble,拆卸,Démonter,Demontieren,,Desmontar,
rdlDisassembleTxt,"Returns intact blocks for own structures. Has a chance of returning intact blocks on public structures.",从私有建筑中能回收完整方块，从公共建筑中只能有几率回收完整方块,"Restitue des blocks entiers pour ses propres structures, et a une chance de restituer des blocks entiers pour les structures ""publiques"".","Für eigene Strukturen werden intakte Blöcke zurück gegeben. Für öffentliche Strukturen werden intakte Blöcke mit einer gewissen Wahrscheinlichkeit zurückgegeben",,"Devuelve los objetos intactos de tus estructuras. Tiene la posibilidad de devolver objetos intactos de las estructuras públicas.",
rdlRepair,Repair,维修,Réparer,Reparieren,,Reparar,
rdlRepairTxt,"Used for repairing devices and building blocks",用于修理设备和建造,"Utilisé pour réparer les machines et les blocks de construction","Repariert Geräte und Baublöcke",,"Utilizado para reparar dispositivos y bloques de construcción",
rdlChangeRotate,"Change and Rotate",代替和旋转,"Changer et tourner","Austauschen und Rotieren",,"Cambiar y girar",
rdlChangeRotateTxt,"Used for changing transparency of some windows (LMB) and rotation of building blocks and small devices of size 1x1 (Insert/Delete/Home/End)","改变玻璃窗户形状，透明，和方向的设备
用(Insert/Delete/Home/End)","Utilisé pour changer la transparence de certaines fenêtres (BSG) ou pour tourner les blocks de construction et certaines machines de dimension 1x1 (Insertion/Supprimer/Debut/Fin)","Zum Ändern der Transparenz von verschiedenen Fenstern (LMT) und Rotieren von Baublöcken und kleinen Geräten der Grösse 1x1 (RMT)",,"Se utiliza para cambiar la transparencia de algunas ventanas (LMB) rotar bloques de construcción y pequeños dispositivos de tamaño 1x1 (Insert/Delete/Home/End)",
rdlUpgrade,Upgrade,升级,Améliorer,Upgraden,,Mejorar,
